date,open,high,low,close
 10 02 2021,1769.14,1777.94,1759.04,1762.05
 09 02 2021,1749.68,1821.88,1708.49,1769.13
 08 02 2021,1611.46,1775.57,1563.89,1750.15
 07 02 2021,1676.35,1693,1490.46,1611.62
 06 02 2021,1718.95,1743.67,1642.94,1676.35
 05 02 2021,1595.53,1760.49,1591,1719.19
 04 02 2021,1664.67,1695.2,1554.44,1595.67
 03 02 2021,1511.93,1669.35,1508.39,1664.49
 02 02 2021,1374.09,1547.9,1360.28,1511.87
 01 02 2021,1312.45,1377.99,1269.99,1374.17
 31 01 2021,1378.04,1380.74,1281.12,1312.55
 30 01 2021,1379.56,1406,1326.41,1378.05
 29 01 2021,1329.44,1436.9,1285.35,1379.5
 28 01 2021,1238.93,1360,1217.23,1329.69
 27 01 2021,1366.54,1373.9,1207,1239.03
 26 01 2021,1317.6,1378.49,1244.56,1365.97
 25 01 2021,1392.19,1475,1293.69,1317.88
 24 01 2021,1233.46,1398.83,1220,1392.51
 23 01 2021,1232.61,1272.44,1195.9,1233.6
 22 01 2021,1111.98,1273.79,1042.31,1232.62
 21 01 2021,1376.72,1390,1086,1110.96
 20 01 2021,1365.36,1407.93,1235.42,1376.99
 19 01 2021,1258.52,1438.3,1251.49,1365.36
 18 01 2021,1232.5,1260.75,1182.58,1258.45
 17 01 2021,1227.83,1269.02,1165,1232.45
 16 01 2021,1168.48,1298,1151.77,1227.83
 15 01 2021,1231.89,1256.98,1069.42,1168.53
 14 01 2021,1129.79,1247.55,1086.7,1231.62
 13 01 2021,1050.36,1137.65,987.48,1129.89
 12 01 2021,1087,1150.02,1006.33,1050.16
 11 01 2021,1254.24,1260,915,1087.01
 10 01 2021,1276,1348.33,1170,1254.25
 09 01 2021,1216.72,1304.37,1171.36,1276
 08 01 2021,1224.86,1273.75,1065,1216.93
 07 01 2021,1208.75,1289,1131,1224.87
 06 01 2021,1100.16,1213,1057.26,1208.42
 05 01 2021,1041.45,1134.6,974.45,1099.56
 04 01 2021,978.33,1162.97,890,1041.43
 03 01 2021,774.44,1011.07,768.71,978.28
 02 01 2021,728.91,787.69,714.91,774.56
 01 01 2021,736.42,749,714.29,728.91
 31 12 2020,752.17,755.74,722,736.42
 30 12 2020,732,758.74,716.62,752.17
 29 12 2020,730.4,740.78,689.2,732
 28 12 2020,685.1,748.09,681.04,730.41
 27 12 2020,637.44,717.13,625,685.11
 26 12 2020,626.78,652.91,615.26,637.44
 25 12 2020,612.31,634.24,604.28,626.82
 24 12 2020,585.48,615.02,565.43,612.31
 23 12 2020,636.41,638.44,551.28,585.56
 22 12 2020,607.68,637.73,588,636.45
 21 12 2020,638.1,648,595.9,607.58
 20 12 2020,658.05,661.39,621.01,638.18
 19 12 2020,653.76,669.95,645.42,658.03
 18 12 2020,642.71,664.61,629.4,653.85
 17 12 2020,637.18,676.25,625.76,642.7
 16 12 2020,588.78,640,580.71,637.18
 15 12 2020,586.29,597.2,578.58,588.64
 14 12 2020,590.81,591.48,575.6,586.29
